id,name,provider,portal,Gemeinde_Nr,fake_gde,not found,seems to have double
nwch:2573,Hofstetten (SO),nwch,nwch:soz2016,2476,,,
nwch:117,Hottwil,nwch,nwch:aaz2016,4184,1,1,
1cHdX,Ingenbohl-Brunnen,luzernerzeitung,luzernerzeitung,1364,,,
1WUw3,Kirchberg,tagblatt,stgallertagblatt,3392,,,
nwch:1092,Kyburg - Buchegg,nwch,nwch:soz2016,2465,1,,1
1m5Br,Küssnacht,luzernerzeitung,luzernerzeitung,1331,,,
nwch:1139,Küttigkofen,nwch,nwch:soz2016,2465,1,,
nwch:2587,Liesberg Dorf,nwch,nwch:bzb2016,2788,,,
nwch:1072,Lohn - Ammannsegg,nwch,nwch:soz2016,2526,,,
nwch:1134,Lüterkofen - Ichertswil,nwch,nwch:soz2016,2455,,,
nwch:1110,Lüterswil - Gächliwil,nwch,nwch:soz2016,2456,,,
1ka4t,Marbach,tagblatt,stgallertagblatt,3253,,,
nwch:2574,Mariastein,nwch,nwch:soz2016,2477,,,
nwch:2575,Metzerlen,nwch,nwch:soz2016,2477,,,
nwch:2559,Mühledorf (SO),nwch,nwch:soz2016,2465,1,,
1dSNm,Münchwilen,tagblatt,stgallertagblatt,4746,,,
nwch:2595,Niederwil (SO),nwch,nwch:soz2016,2554,,,1
nwch:2576,Nuglar,nwch,nwch:soz2016,2478,,,1
1YEFQ,Oberdorf,luzernerzeitung,luzernerzeitung,1508,,,
15BeG,Oberriet,tagblatt,stgallertagblatt,3254,,,
nwch:2544,Obersiggenthal (Nussbaumen),nwch,nwch:aaz2016,4038,,,
1YjOs,Reute,tagblatt,stgallertagblatt,3035,,,
1ibQ3,Richenthal,luzernerzeitung,luzernerzeitung,1140,1,1,
1SIrk,Rickenbach,luzernerzeitung,luzernerzeitung,1097,,,
1FdRk,Rickenbach,tagblatt,stgallertagblatt,4751,,,
1U4PQ,Roggwil,tagblatt,stgallertagblatt,4431,,,
nwch:183,Rohr,nwch,nwch:gtb2016,2498,,,
13Yg3,Rüthi,tagblatt,stgallertagblatt,3256,,,
nwch:192,Scherz,nwch,nwch:aaz2016,4104,1,1,
nwch:193,Schinznach-Bad,nwch,nwch:aaz2016,4125,,,1
18yPf,Schlatt,tagblatt,stgallertagblatt,4546,,,
7HfI3,Seedorf,luzernerzeitung,luzernerzeitung,1214,,,
nwch:2577,Seewen (SO),nwch,nwch:soz2016,2480,,,
nwch:2578,St. Pantaleon,nwch,nwch:soz2016,2478,,,1
1ygaE,Stadt Luzern,luzernerzeitung,luzernerzeitung,1061,,,
7N5wQ,Stadt St.Gallen,tagblatt,stgallertagblatt,3203,,,
nwch:1166,Starrkirch - Wil,nwch,nwch:soz2016,2584,,,
1a3OX,Stein,tagblatt,stgallertagblatt,3005,,,
1XYeF,Teufen,tagblatt,stgallertagblatt,3024,,,
nwch:1169,Tscheppach,nwch,nwch:soz2016,2465,1,,
1kbgp,Wald,tagblatt,stgallertagblatt,3036,,,
1g6mV,Wangen,luzernerzeitung,luzernerzeitung,1349,,,
1weAf,Werthenstein-Unterdorf,luzernerzeitung,luzernerzeitung,1009,,,
77Lgf,Wil,tagblatt,stgallertagblatt,3427,,,
113X3,Wildhaus-Alt St.Johann,tagblatt,stgallertagblatt,3359,,,
16XEp,Wildhaus-Alt St.Johann,tagblatt,stgallertagblatt,3359,,,
15dsl,Wilen,tagblatt,stgallertagblatt,4786,,,
nwch:2626,Winistorf,nwch,nwch:soz2016,2535,1,,
nwch:596,Wolfisberg,nwch,nwch:soz2016,981,1,,
1RFIL,Zell,luzernerzeitung,luzernerzeitung,1150,,,
1ERUs,Zuzwil,tagblatt,stgallertagblatt,3426,,,
